portale,percentuale,data
Comune di Crispiano,46.734000170703204,2023-12-04 15:58:20.090331
Comune di Massafra,57.46586664976897,2023-12-04 15:58:20.601004
Comune di Bitonto,58.85236752963599,2023-12-05 10:51:30.203912
Comune di Crispiano,54.614894474936335,2023-12-05 10:51:30.832898
Comune di Massafra,57.46586664976897,2023-12-05 10:51:31.266846
Comune di Bitonto,58.85236752963599,2023-12-05 10:51:36.517624
Comune di Crispiano,54.614894474936335,2023-12-05 10:51:37.158605
Comune di Massafra,57.46586664976897,2023-12-05 10:51:37.610668
Comune di Bitonto,58.85236752963599,2023-12-05 11:11:02.365622
Comune di Crispiano,57.23189284305765,2023-12-05 11:11:03.120846
Comune di Massafra,57.46586664976897,2023-12-05 11:11:03.575318
Comune di Bitonto,58.85236752963599,2023-12-05 11:27:21.445783
Comune di Crispiano,57.23189284305765,2023-12-05 11:27:22.289252
Comune di Massafra,57.46586664976897,2023-12-05 11:27:23.094155
Comune di Bitonto,58.85236752963599,2023-12-05 11:34:18.114714
Comune di Crispiano,57.23189284305765,2023-12-05 11:34:18.982792
Comune di Massafra,57.46586664976897,2023-12-05 11:34:19.814589
Comune di Bitonto,58.85236752963599,2023-12-05 11:40:36.060773
Comune di Crispiano,57.23189284305765,2023-12-05 11:40:36.708417
Comune di Massafra,57.46586664976897,2023-12-05 11:40:37.149926
Comune di Bitonto,58.85236752963599,2023-12-05 11:44:44.943726
Comune di Crispiano,57.23189284305765,2023-12-05 11:44:46.108101
Comune di Massafra,57.65105183495416,2023-12-05 11:44:47.039577
Comune di Bitonto,58.85236752963599,2023-12-05 13:22:29.418459
Comune di Crispiano,57.23189284305765,2023-12-05 13:22:30.365744
Comune di Massafra,57.65105183495416,2023-12-05 13:22:30.929247
Comune di Bitonto,58.85236752963599,2023-12-05 13:27:06.808717
Comune di Crispiano,57.23189284305765,2023-12-05 13:27:07.509357
Comune di Massafra,57.65105183495416,2023-12-05 13:27:07.990733
Comune di Bitonto,56.40018554923449,2023-12-06 16:22:19.896491
Comune di Crispiano,57.23189284305765,2023-12-06 16:22:20.543125
Comune di Massafra,57.65105183495416,2023-12-06 16:22:20.958574
Comune di Bitonto,56.40018554923449,2023-12-06 16:22:25.859362
Comune di Crispiano,57.23189284305765,2023-12-06 16:22:26.658920
Comune di Massafra,57.65105183495416,2023-12-06 16:22:27.139107
Comune di Bitonto,56.40018554923449,2023-12-06 16:25:39.227780
Comune di Crispiano,57.23189284305765,2023-12-06 16:25:39.858594
Comune di Massafra,57.65105183495416,2023-12-06 16:25:40.309011
Comune di Bitonto,56.40018554923449,2023-12-06 16:25:44.963256
Comune di Crispiano,57.23189284305765,2023-12-06 16:25:45.609369
Comune di Massafra,57.65105183495416,2023-12-06 16:25:46.051624
Comune di Bitonto,56.40018554923449,2023-12-12 16:29:23.774858
Comune di Crispiano,57.23189284305765,2023-12-12 16:29:24.440860
Comune di Massafra,57.65105183495416,2023-12-12 16:29:24.846101
Comune di Bitonto,56.40018554923449,2023-12-12 16:29:30.009596
Comune di Crispiano,57.23189284305765,2023-12-12 16:29:30.784898
Comune di Massafra,57.65105183495416,2023-12-12 16:29:31.321432
Comune di Bitonto,56.40018554923449,2023-12-12 16:36:06.129494
Comune di Crispiano,57.23189284305765,2023-12-12 16:36:06.780962
Comune di Massafra,57.65105183495416,2023-12-12 16:36:07.323063
Comune di Bitonto,56.40018554923449,2023-12-12 16:36:12.124164
Comune di Crispiano,57.23189284305765,2023-12-12 16:36:12.772291
Comune di Massafra,57.65105183495416,2023-12-12 16:36:13.222108
Comune di Bitonto,56.40018554923449,2023-12-12 16:55:29.583629
Comune di Crispiano,57.23189284305765,2023-12-12 16:55:30.167292
Comune di Massafra,57.65105183495416,2023-12-12 16:55:30.554582
Comune di Bitonto,56.40018554923449,2023-12-12 16:55:34.513995
Comune di Crispiano,57.23189284305765,2023-12-12 16:55:35.222115
Comune di Massafra,57.65105183495416,2023-12-12 16:55:35.655419
Comune di Bitonto,56.40018554923449,2023-12-12 16:56:50.584461
Comune di Crispiano,57.23189284305765,2023-12-12 16:56:51.187424
Comune di Massafra,57.65105183495416,2023-12-12 16:56:51.609211
Comune di Bitonto,56.40018554923449,2023-12-12 17:00:46.866454
Comune di Crispiano,57.23189284305765,2023-12-12 17:00:47.595369
Comune di Massafra,57.65105183495416,2023-12-12 17:00:48.065701
Comune di Bitonto,56.40018554923449,2023-12-12 17:01:06.538618
Comune di Crispiano,57.23189284305765,2023-12-12 17:01:07.227132
Comune di Massafra,57.65105183495416,2023-12-12 17:01:07.655834
Comune di Bitonto,56.40018554923449,2023-12-12 17:09:33.883741
Comune di Crispiano,57.23189284305765,2023-12-12 17:09:34.518651
Comune di Massafra,57.65105183495416,2023-12-12 17:09:34.981987
Comune di Bitonto,56.40018554923449,2023-12-12 17:15:10.065429
Comune di Crispiano,57.23189284305765,2023-12-12 17:15:10.676543
Comune di Massafra,57.65105183495416,2023-12-12 17:15:11.100267
Comune di Bitonto,56.40018554923449,2023-12-12 17:16:39.467823
Comune di Crispiano,57.23189284305765,2023-12-12 17:16:40.145732
Comune di Massafra,57.65105183495416,2023-12-12 17:16:40.621345
Comune di Bitonto,56.40018554923449,2023-12-12 17:17:05.189235
Comune di Crispiano,57.23189284305765,2023-12-12 17:17:05.897651
Comune di Massafra,57.65105183495416,2023-12-12 17:17:06.351581
Comune di Bitonto,56.40018554923449,2023-12-12 17:20:24.022205
Comune di Crispiano,57.23189284305765,2023-12-12 17:20:24.658291
Comune di Massafra,57.65105183495416,2023-12-12 17:20:25.089989
Comune di Bitonto,56.40018554923449,2023-12-12 17:26:02.805629
Comune di Crispiano,57.23189284305765,2023-12-12 17:26:03.448833
Comune di Massafra,57.65105183495416,2023-12-12 17:26:03.946415
Comune di Bitonto,56.40018554923449,2023-12-12 17:33:47.578175
Comune di Crispiano,57.23189284305765,2023-12-12 17:33:48.422155
Comune di Massafra,57.65105183495416,2023-12-12 17:33:48.884761
Comune di Bitonto,56.40018554923449,2023-12-12 17:33:52.827278
Comune di Crispiano,57.23189284305765,2023-12-12 17:33:53.496320
Comune di Massafra,57.65105183495416,2023-12-12 17:33:53.975711
Comune di Bitonto,56.40018554923449,2023-12-12 17:34:36.902258
Comune di Crispiano,57.23189284305765,2023-12-12 17:34:37.593418
Comune di Massafra,57.65105183495416,2023-12-12 17:34:38.014693
Comune di Bitonto,56.40018554923449,2023-12-12 17:35:21.608843
Comune di Crispiano,57.23189284305765,2023-12-12 17:35:22.254299
Comune di Massafra,57.65105183495416,2023-12-12 17:35:22.681502
Comune di Bitonto,56.40018554923449,2023-12-12 17:38:00.090814
Comune di Crispiano,57.23189284305765,2023-12-12 17:38:00.755439
Comune di Massafra,57.65105183495416,2023-12-12 17:38:01.191915
Comune di Bitonto,56.40018554923449,2023-12-12 17:38:05.583189
Comune di Crispiano,57.23189284305765,2023-12-12 17:38:06.331566
Comune di Massafra,57.65105183495416,2023-12-12 17:38:06.793133
Comune di Bitonto,56.40018554923449,2023-12-12 17:40:52.862183
Comune di Crispiano,57.23189284305765,2023-12-12 17:40:53.525305
Comune di Massafra,57.65105183495416,2023-12-12 17:40:53.963627
Comune di Bitonto,56.40018554923449,2023-12-12 17:40:58.489581
Comune di Crispiano,57.23189284305765,2023-12-12 17:40:59.146702
Comune di Massafra,57.65105183495416,2023-12-12 17:40:59.594419
Comune di Bitonto,56.40018554923449,2023-12-13 15:39:55.271226
Comune di Crispiano,57.23189284305765,2023-12-13 15:39:55.822100
Comune di Massafra,57.65105183495416,2023-12-13 15:39:56.197228
Comune di Bitonto,56.40018554923449,2023-12-13 15:40:02.735718
Comune di Crispiano,57.23189284305765,2023-12-13 15:40:03.787976
Comune di Massafra,57.65105183495416,2023-12-13 15:40:04.778450
Comune di Bitonto,56.40018554923449,2023-12-13 15:47:28.077122
Comune di Crispiano,57.23189284305765,2023-12-13 15:47:28.660713
Comune di Massafra,57.65105183495416,2023-12-13 15:47:29.044730
Comune di Bitonto,56.40018554923449,2023-12-13 15:47:32.823517
Comune di Crispiano,57.23189284305765,2023-12-13 15:47:33.525445
Comune di Massafra,57.65105183495416,2023-12-13 15:47:33.993448
Comune di Bitonto,56.40018554923449,2023-12-13 15:49:48.048291
Comune di Crispiano,57.23189284305765,2023-12-13 15:49:48.656713
Comune di Massafra,57.65105183495416,2023-12-13 15:49:49.058525
Comune di Bitonto,56.40018554923449,2023-12-13 15:49:52.989380
Comune di Crispiano,57.23189284305765,2023-12-13 15:49:53.576560
Comune di Massafra,57.65105183495416,2023-12-13 15:49:53.981075
Comune di Bitonto,56.40018554923449,2023-12-13 15:50:35.795646
Comune di Crispiano,57.23189284305765,2023-12-13 15:50:36.404051
Comune di Massafra,57.65105183495416,2023-12-13 15:50:36.815334
Comune di Bitonto,56.40018554923449,2023-12-13 15:51:16.507270
Comune di Crispiano,57.23189284305765,2023-12-13 15:51:17.117035
Comune di Massafra,57.65105183495416,2023-12-13 15:51:17.531495
Comune di Bitonto,56.40018554923449,2023-12-13 15:51:46.935773
Comune di Crispiano,57.23189284305765,2023-12-13 15:51:47.541540
Comune di Massafra,57.65105183495416,2023-12-13 15:51:47.950271
Comune di Bitonto,56.40018554923449,2023-12-13 15:52:46.591620
Comune di Crispiano,57.23189284305765,2023-12-13 15:52:47.190114
Comune di Massafra,57.65105183495416,2023-12-13 15:52:47.594536
Comune di Bitonto,56.40018554923449,2023-12-13 15:54:04.762197
Comune di Crispiano,57.23189284305765,2023-12-13 15:54:05.371625
Comune di Massafra,57.65105183495416,2023-12-13 15:54:05.779024
Comune di Bitonto,56.40018554923449,2023-12-13 15:58:07.515307
Comune di Crispiano,57.23189284305765,2023-12-13 15:58:08.138405
Comune di Massafra,57.65105183495416,2023-12-13 15:58:08.561484
Comune di Bitonto,56.40018554923449,2023-12-13 15:58:12.147287
Comune di Crispiano,57.23189284305765,2023-12-13 15:58:12.743225
Comune di Massafra,57.65105183495416,2023-12-13 15:58:13.167706
Comune di Bitonto,56.40018554923449,2023-12-13 15:59:11.442678
Comune di Crispiano,57.23189284305765,2023-12-13 15:59:12.080092
Comune di Massafra,57.65105183495416,2023-12-13 15:59:12.505937
Comune di Bitonto,56.40018554923449,2023-12-13 15:59:46.340354
Comune di Crispiano,57.23189284305765,2023-12-13 15:59:46.985659
Comune di Massafra,57.65105183495416,2023-12-13 15:59:47.439727
Comune di Bitonto,56.40018554923449,2023-12-13 16:00:25.725991
Comune di Crispiano,57.23189284305765,2023-12-13 16:00:26.349163
Comune di Massafra,57.65105183495416,2023-12-13 16:00:26.749429
Comune di Bitonto,56.40018554923449,2023-12-13 16:01:13.603341
